coragyps_atratus,ardea_alba,buteo_albicaudatus,gypohierax,harpya,milvago_chimachima,trigonoceps,aix,buteogallus,eudocimus,platalea,sarcorhamphus,vultur
AST,ACG,SCL,PRT,OBS,SCL,ACE,OBS,ACP,NAL,CBT,AUR,OBS
OBS,OBS,NAL,OBS,AST,NAL,PRT,NAL,ACG,APV,SCL,OBS,PRT
PRT,ACG,SCL,ACG,OBS,SCL,NAL,OBS,OBS,SCL,ACA,AUR,AST
OBS,OBS,NAL,ACP,ACE,OBS,OBS,LIT,NAL,AST,CBT,OBS,ACD
AST,ACG,OBS,OBS,OBS,NAL,ACA,OBS,APV,OBS,SCL,AUR,AUR
APV,PRT,NAL,APV,ACP,OBS,ACP,NAL,AST,ACE,PRT,OBS,OBS
OBS,OBS,OBS,OBS,OBS,NAL,OBS,LIT,AUR,SCL,CBT,AUR,AUR
AST,ACG,CBA,APV,AST,OBS,PRT,OBS,OBS,ACE,NAL,OBS,OBS
OBS,PRT,OBS,OBS,OBS,NAL,OBS,AUR,APV,APV,SCL,AUR,AUR
AST,OBS,CBA,NAL,AST,OBS,PRT,LIT,AST,ACE,ACP,OBS,OBS
OBS,PRT,OBS,LCD,OBS,NAL,OBS,OBS,OBS,APV,CBT,AUR,AUR
AST,OBS,CBA,NAL,ACP,OBS,PRT,AUR,APV,ACE,NAL,OBS,OBS
OBS,PRT,OBS,OBS,OBS,NAL,OBS,OBS,OBS,APV,SCL,AUR,AST
ACD,OBS,CBA,NAL,AUR,AUR,NAL,AST,NAL,OBS,ACE,ACD,AUR
AUR,PRT,OBS,OBS,OBS,OBS,OBS,OBS,OBS,SCL,SCL,OBS,APV
OBS,OBS,CBA,PRT,AUR,AUR,PRT,AST,ACG,ACG,ACG,AUR,OBS
AUR,PRT,OBS,OBS,CBA,NAL,AST,OBS,ACE,SCL,CBT,AST,AST
ACD,AUR,NAL,PRT,OBS,OBS,OBS,LIT,PRT,ACG,SCL,APV,OBS
OBS,OBS,OBS,OBS,CBA,AUR,NAL,OBS,OBS,NAL,OBS,AST,AST
CBA,PRT,SAC,ACP,PRT,OBS,OBS,ACA,AST,SCL,SCL,LCD,ACG
PRT,OBS,OBS,OBS,OBS,ACD,PRT,OBS,AUR,AUR,AST,APV,OBS
NAL,ACP,SCL,ACG,ACD,OBS,NAL,ACA,OBS,NAL,CBT,AUR,ACG
OBS,OBS,OBS,OBS,OBS,AST,OBS,OBS,AUR,SCL,OBS,PRT,OBS
AST,ACP,NAL,ACG,CBA,OBS,ACG,NAL,OBS,AUR,SCL,APV,ACG
OBS,OBS,CBA,OBS,OBS,AST,ACP,AUR,AUR,NAL,ACG,OBS,OBS
AST,PRT,OBS,PRT,CBA,OBS,PRT,OBS,APV,OBS,CBT,AUR,ACG
OBS,OBS,NAL,OBS,OBS,NAL,NAL,AUR,OBS,NAL,SCL,OBS,PRT
